fold,j,evr,method,split
1,1,0.044146004845261606,CCA,train
1,1,0.09427496844718708,CCA,test
1,1,0.17628397680782032,PCA,train
1,1,0.23484816193662494,PCA,test
1,2,0.07390309613650828,CCA,train
1,2,0.10658651521740752,CCA,test
1,2,0.27167230561566796,PCA,train
1,2,0.24947463294239017,PCA,test
1,3,0.08043267423159842,CCA,train
1,3,0.1135882954650369,CCA,test
1,3,0.32554119406725973,PCA,train
1,3,0.25926187206334683,PCA,test
2,1,0.043766803959323475,CCA,train
2,1,0.05230775883936372,CCA,test
2,1,0.1813031031098897,PCA,train
2,1,0.16018585699096477,PCA,test
2,2,0.07500061893572606,CCA,train
2,2,0.07322800032374664,CCA,test
2,2,0.27408468282432136,PCA,train
2,2,0.20095867923598884,PCA,test
2,3,0.08172703640226586,CCA,train
2,3,0.07691918691140302,CCA,test
2,3,0.3273786415801692,PCA,train
2,3,0.2134903888526068,PCA,test
3,1,0.04856712364873745,CCA,train
3,1,0.022276228675524652,CCA,test
3,1,0.18728086491919013,PCA,train
3,1,0.0950808780046264,PCA,test
3,2,0.07532497385908196,CCA,train
3,2,0.07319911476146258,CCA,test
3,2,0.27788130539412836,PCA,train
3,2,0.17010868436900264,PCA,test
3,3,0.08543401416360187,CCA,train
3,3,0.08390123605169135,CCA,test
3,3,0.33159579362313846,PCA,train
3,3,0.19051759771898671,PCA,test
4,1,0.04402204996719878,CCA,train
4,1,0.030915315223189865,CCA,test
4,1,0.18327273388853127,PCA,train
4,1,0.14206089759051635,PCA,test
4,2,0.07397859283084206,CCA,train
4,2,0.044554736827793304,CCA,test
4,2,0.27848108152769735,PCA,train
4,2,0.16489686744464077,PCA,test
4,3,0.08096005693889204,CCA,train
4,3,0.04774888205614771,CCA,test
4,3,0.3236071080779627,PCA,train
4,3,0.18102378659789495,PCA,test
5,1,0.04334670830851138,CCA,train
5,1,0.03947876726864418,CCA,test
5,1,0.18178778425801503,PCA,train
5,1,0.15044886494957185,PCA,test
5,2,0.0732789328283726,CCA,train
5,2,0.050915227132843625,CCA,test
5,2,0.27627697388940325,PCA,train
5,2,0.17484622116330023,PCA,test
5,3,0.07953281332588025,CCA,train
5,3,0.054999406300997485,CCA,test
5,3,0.3302149603114488,PCA,train
5,3,0.18457284584104774,PCA,test
6,1,0.052009636113731265,CCA,train
6,1,0.012241141991793825,CCA,test
6,1,0.1915381999623376,PCA,train
6,1,0.05972722100905092,PCA,test
6,2,0.07751197508704986,CCA,train
6,2,0.06807580168793813,CCA,test
6,2,0.267180888707271,PCA,train
6,2,0.2369620115445359,PCA,test
6,3,0.08425534757517593,CCA,train
6,3,0.07285090951968916,CCA,test
6,3,0.3196975556516346,PCA,train
6,3,0.28718601952790623,PCA,test
7,1,0.04693660193670518,CCA,train
7,1,0.0862034158710446,CCA,test
7,1,0.17244046710747976,PCA,train
7,1,0.27769222978406105,PCA,test
7,2,0.07681328255911275,CCA,train
7,2,0.09318384382307458,CCA,test
7,2,0.2685290339248632,PCA,train
7,2,0.2874844003551733,PCA,test
7,3,0.08378499131396461,CCA,train
7,3,0.09928974942184919,CCA,test
7,3,0.32294427689281163,PCA,train
7,3,0.29486216329493603,PCA,test
8,1,0.04474591886166839,CCA,train
8,1,0.020843899531311102,CCA,test
8,1,0.1838076959741899,PCA,train
8,1,0.128305611408663,PCA,test
8,2,0.07473692252625934,CCA,train
8,2,0.02869864056022832,CCA,test
8,2,0.2800285345394711,PCA,train
8,2,0.13922499937006436,PCA,test
8,3,0.08157335590322588,CCA,train
8,3,0.030640744378399438,CCA,test
8,3,0.33413549158736866,PCA,train
8,3,0.15176936047863634,PCA,test
9,1,0.04456150795975974,CCA,train
9,1,0.041238623991965116,CCA,test
9,1,0.17713089182817388,PCA,train
9,1,0.2155185411204543,PCA,test
9,2,0.07693814695684938,CCA,train
9,2,0.05838948135957396,CCA,test
9,2,0.27384344951596296,PCA,train
9,2,0.22551108691252997,PCA,test
9,3,0.08394680774040224,CCA,train
9,3,0.06076078198303687,CCA,test
9,3,0.32905470040101,PCA,train
9,3,0.22836886463976475,PCA,test
10,1,0.04525898899048558,CCA,train
10,1,0.03279615340630894,CCA,test
10,1,0.17938618538671666,PCA,train
10,1,0.19018923462321316,PCA,test
10,2,0.07135054072956346,CCA,train
10,2,0.08208959497943191,CCA,test
10,2,0.2691460338556778,PCA,train
10,2,0.27113817013774394,PCA,test
10,3,0.07796101338320012,CCA,train
10,3,0.08740429506650417,CCA,test
10,3,0.32222250392381974,PCA,train
10,3,0.29242886654177314,PCA,test
11,1,0.0421273969224821,CCA,train
11,1,0.046801227327913496,CCA,test
11,1,0.17671727613577065,PCA,train
11,1,0.2535209653337012,PCA,test
11,2,0.07228256099349095,CCA,train
11,2,0.054811007809000806,CCA,test
11,2,0.27060003789117687,PCA,train
11,2,0.27408598398477385,PCA,test
11,3,0.07886268935553496,CCA,train
11,3,0.05922298116431258,CCA,test
11,3,0.3241867934444972,PCA,train
11,3,0.2806089205513071,PCA,test
12,1,0.04379152498773532,CCA,train
12,1,0.03162044869037419,CCA,test
12,1,0.17856760547261805,PCA,train
12,1,0.19614287095156976,PCA,test
12,2,0.07462185910220637,CCA,train
12,2,0.05609033385311601,CCA,test
12,2,0.27226156665211765,PCA,train
12,2,0.23390399364725623,PCA,test
12,3,0.08167315552343019,CCA,train
12,3,0.060360953217565676,CCA,test
12,3,0.31802952808606355,PCA,train
12,3,0.2914374812491417,PCA,test
13,1,0.04451137438534225,CCA,train
13,1,0.02327668159483611,CCA,test
13,1,0.18589756242119107,PCA,train
13,1,0.07698610375680781,PCA,test
13,2,0.07188346615342876,CCA,train
13,2,0.07035459017376573,CCA,test
13,2,0.26692065890376576,PCA,train
13,2,0.31032416328442614,PCA,test
13,3,0.07852065016892115,CCA,train
13,3,0.07570068865666321,CCA,test
13,3,0.31947461779715186,PCA,train
13,3,0.33943335900930033,PCA,test
14,1,0.043201580044996434,CCA,train
14,1,0.038443346239847014,CCA,test
14,1,0.18365702520833874,PCA,train
14,1,0.13813638301500858,PCA,test
14,2,0.07101645379351132,CCA,train
14,2,0.07259839184743438,CCA,test
14,2,0.26840038151711576,PCA,train
14,2,0.2750612958211759,PCA,test
14,3,0.07799464698136793,CCA,train
14,3,0.07505802915225811,CCA,test
14,3,0.32257285696515225,PCA,train
14,3,0.29202118608335265,PCA,test
15,1,0.043267086113028305,CCA,train
15,1,0.03297249720239217,CCA,test
15,1,0.1795654128553872,PCA,train
15,1,0.1833715071045984,PCA,test
15,2,0.07402908764235652,CCA,train
15,2,0.03956646010518518,CCA,test
15,2,0.2763725446277413,PCA,train
15,2,0.1926087797786157,PCA,test
15,3,0.08035642805179723,CCA,train
15,3,0.05151520928275717,CCA,test
15,3,0.33112794392275824,PCA,train
15,3,0.1985162521131075,PCA,test
